Road,Slot,1TO2,BASELINE,DBSCAN,LIMITE,RANDOM,XMEANS,ERR_DBSCAN,ERR_XMEANS,ERR_1TO2,ERR_RAND,ERR_LIMITE
22959550#3_0,2,0.5117692568865042,0.5163073365133612,0.5096658396553547,0.5163073365133612,0.516024167469095,0.5107219836582936,True,True,True,True,True
22959550#3_0,3,0.4518444127464903,0.4496103419020213,0.443718169573034,0.4496103419020213,0.4497430020603389,0.4557551576500944,True,True,True,True,True
22959550#3_0,4,0.43320216182519466,0.43320216182519466,0.44198638562197,0.43320216182519466,0.4322961799114374,0.4401152899224288,True,True,True,True,True
22959550#3_0,5,0.3507485681525967,0.344018682597021,0.344864053958332,0.344018682597021,0.34150438711756287,0.34107601160886897,True,True,True,True,True
22959550#3_0,6,0.319441529582673,0.3182987036841199,0.3209483445352823,0.3182987036841199,0.3219558191354556,0.319055034232895,True,True,True,True,True
22959550#3_0,7,0.28228599002625454,0.2738219147329538,0.2706394750171154,0.2738219147329538,0.281911133622393,0.266495072255649,True,True,True,True,True
22959550#3_0,8,0.21889350904821261,0.20952115905890487,0.206787737392551,0.20952115905890487,0.21448561491380003,0.20842637790381627,True,True,True,True,True
22959550#3_0,9,0.2139527409892289,0.20994862603875036,0.20640866511190398,0.20994862603875036,0.21290323179137247,0.2012347696756841,True,True,True,True,True
22959550#3_0,10,0.16376772067704543,0.16232984346619322,0.1551404574119324,0.16232984346619322,0.1534536573721047,0.15274399539384545,True,True,True,True,True
22959550#3_0,11,0.16768160103738383,0.16285118991296688,0.1494835392435344,0.16285118991296688,0.16531440726772445,0.14937751411721156,True,True,True,True,True
22959550#3_0,12,0.16603896641784574,0.1734135576050717,0.15948377425142263,0.1734135576050717,0.16744365045350781,0.18177142761726126,True,True,True,True,True
22959550#3_0,13,0.1858484546572801,0.1588919254381815,0.18991336052644067,0.1588919254381815,0.15664388945476318,0.20082228023206414,True,True,True,True,True
22959550#3_0,14,0.09203926239682073,0.1559155196117175,0.1731519567189683,0.1559155196117175,0.14504989897753018,0.18716178411274229,True,True,True,True,True
22959550#3_0,15,0.29131067609914113,0.28271209556673577,0.30265055767106835,0.28271209556673577,0.2958464829523422,0.2951363993092117,True,True,True,True,True
22959550#3_0,16,0.31781593993972784,0.330429934562672,0.3646229329355516,0.330429934562672,0.3590103879671014,0.3023588746709116,True,True,True,True,True
22959550#3_0,17,0.32440597117937475,0.28637170702927167,0.2926067136806132,0.28637170702927167,0.2759647516317428,0.29542588067660014,True,True,True,True,True
22959550#3_0,18,0.3272921386150738,0.32775084463690357,0.3159258106653493,0.32775084463690357,0.34076341357938505,0.2897548170573223,True,True,True,True,True
22959550#3_0,19,0.48894616373646554,0.4580206275081676,0.42881578288239647,0.4580206275081676,0.46844641356317107,0.4223474809849021,True,True,True,True,True
22959550#3_0,20,0.42942317700361265,0.42218134321850714,0.4119474505870146,0.42218134321850714,0.427038850706505,0.42690394671010595,True,True,True,True,True
22959550#3_0,21,0.543478484718612,0.5612285222889521,0.5441502702281493,0.5612285222889521,0.5593180430904392,0.5370150118662333,True,True,True,True,True
22959550#3_0,22,0.5721404528224433,0.564681542665992,0.5617046620448823,0.564681542665992,0.5658578899771046,0.5692489254714087,True,True,True,True,True
22959550#3_0,23,0.673217449706766,0.6699195159827016,0.6664183906615639,0.6627352320733821,0.6849651567726261,0.6599386403764046,True,True,True,True,True
22959550#3_0,24,0.7866540800578794,0.7881306354786557,0.7857034421488327,0.0,0.7894919430970451,0.7837719941099599,True,True,True,True,False
22959550#3_0,25,0.6825464898170467,0.6825464898170467,0.6834930536615778,0.6825464898170467,0.6825464898170467,0.679706798283453,True,True,True,True,True
22959552#1_0,1,0.6091028517585326,0.607124884603905,0.6122761489286384,0.607124884603905,0.6015914621267785,0.6150367532224144,True,True,True,True,True
22959552#1_0,3,0.49481521082742075,0.5035798818621634,0.5062197525450428,0.5035798818621634,0.5117953897090979,0.5234852744171196,True,True,True,True,True
22959552#1_0,4,0.0,-1.8494854959084715e-16,0.0,-1.8494854959084715e-16,0.0,0.0,True,True,True,True,True
22959552#1_0,5,0.41732953327510963,0.42901552381150704,0.4069419861316453,0.42901552381150704,0.4216576779182198,0.41955543623442343,True,True,True,True,True
22959552#1_0,6,0.36301355600441454,0.36301355600441454,0.3630135560044145,0.36301355600441454,0.36301355600441454,0.3630135560044145,True,True,True,True,True
