Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
2,26,26,23840887#4_0,422.372,497.859,41.716633795249,1594162097.3210065,6.61974,1,6.61974,0.7114915427092096,Breakdown-flow,9,0.0,23
3,26,26,23840887#4_0,422.372,497.859,41.816634664009,1594162098.313962,6.61974,1,6.61974,0.7114915427092096,Breakdown-flow,9,0.0,23
4,26,26,23840887#4_0,422.372,497.859,41.916635532769,1594162099.0667534,6.61974,1,6.61974,0.7114915427092096,Breakdown-flow,9,0.0,23
0,26,15,23840887#4_0,423.117,497.85,44.250195901645,1594162117.3155212,6.29923,1,6.29923,0.7254603459622485,Breakdown-flow,10,0.0,23
1,26,15,23840887#4_0,423.117,497.85,44.650199334485,1594162119.8195398,6.29923,1,6.29923,0.7254603459622485,Breakdown-flow,10,0.0,23
0,26,19,23840887#4_0,419.914,497.891,49.120358267414,1594162147.8377206,7.57931,1,7.57931,0.6696705557274665,Unstable-flow,9,0.0,23
1,26,19,23840887#4_0,419.914,497.891,49.220354058599,1594162148.3501515,7.57931,1,7.57931,0.6696705557274665,Unstable-flow,9,0.0,23
2,26,19,23840887#4_0,419.914,497.891,49.520354432154,1594162151.158331,7.57931,1,7.57931,0.6696705557274665,Unstable-flow,9,0.0,23
1,27,11,23840887#4_0,428.418,497.781,36.56797521269,1594162057.3869197,3.61118,1,3.61118,0.842613762655428,Breakdown-flow,9,0.0,23
2,27,11,23840887#4_0,428.418,497.781,36.667979495285,1594162058.0907593,3.61118,1,3.61118,0.842613762655428,Breakdown-flow,9,0.0,23
3,27,11,23840887#4_0,428.418,497.781,36.76797077788,1594162058.7627947,3.61118,1,3.6111799999999996,0.842613762655428,Breakdown-flow,9,0.0,23
0,27,26,23840887#4_0,427.568,497.792,42.616641760078,1594162104.7353442,4.11681,1,4.11681,0.8205768652455686,Breakdown-flow,12,0.0,23
1,27,26,23840887#4_0,427.568,497.792,42.916631399187,1594162107.139265,4.11681,1,4.11681,0.8205768652455686,Breakdown-flow,12,0.0,23
0,27,15,23840887#4_0,428.008,497.786,45.050194626405,1594162122.4708886,3.86689,1,3.86689,0.8314691410216738,Breakdown-flow,7,0.0,23
1,27,15,23840887#4_0,428.008,497.786,45.450192060845,1594162124.5575068,3.86689,1,3.86689,0.8314691410216738,Breakdown-flow,7,0.0,23
2,27,15,23840887#4_0,428.008,497.786,45.650190778065,1594162125.7683458,3.86689,1,3.86689,0.8314691410216738,Breakdown-flow,7,0.0,23
3,27,15,23840887#4_0,428.008,497.786,45.850202495285,1594162126.8180883,3.86689,1,3.86689,0.8314691410216738,Breakdown-flow,7,0.0,23
0,27,19,23840887#4_0,426.014,497.812,50.020359397893,1594162154.3349442,4.87293,1,4.87293,0.7876228497212864,Breakdown-flow,6,0.0,23
1,27,19,23840887#4_0,426.014,497.812,50.120355293647,1594162154.9692347,4.87293,1,4.87293,0.7876228497212864,Breakdown-flow,6,0.0,23
2,27,19,23840887#4_0,426.014,497.812,50.220351189401,1594162155.5851424,4.87293,1,4.87293,0.7876228497212864,Breakdown-flow,6,0.0,23
3,27,19,23840887#4_0,426.014,497.812,50.420355980909,1594162156.5849612,4.87293,1,4.87293,0.7876228497212864,Breakdown-flow,6,0.0,23
4,27,19,23840887#4_0,426.014,497.812,50.620360772417,1594162157.599459,4.87293,1,4.87293,0.7876228497212864,Breakdown-flow,6,0.0,23
5,27,19,23840887#4_0,426.014,497.812,50.820352563925,1594162158.7077053,4.87293,1,4.87293,0.7876228497212864,Breakdown-flow,6,0.0,23
1,28,11,23840887#4_0,433.012,497.722,37.067974694157,1594162060.9929671,5.76474,1,5.76474,0.7487550501858817,Breakdown-flow,9,0.0,23
2,28,11,23840887#4_0,433.012,497.722,37.167970119968,1594162061.6650121,5.76474,1,5.76474,0.7487550501858817,Breakdown-flow,10,0.0,23
3,28,11,23840887#4_0,433.012,497.722,37.36797397159,1594162063.054872,5.76474,1,5.76474,0.7487550501858817,Breakdown-flow,10,0.0,23
4,28,11,23840887#4_0,433.012,497.722,37.467982397401,1594162063.7011554,5.76474,1,5.76474,0.7487550501858817,Breakdown-flow,10,0.0,23
0,28,26,23840887#4_0,431.84,497.737,43.016632340212,1594162107.8843155,5.30353,1,5.30353,0.7688559885289414,Breakdown-flow,12,0.0,23
1,28,26,23840887#4_0,431.84,497.737,43.21663409097,1594162109.3117886,5.30353,1,5.30353,0.7688559885289414,Breakdown-flow,12,0.0,23
2,28,26,23840887#4_0,431.84,497.737,43.316634966349,1594162110.057382,5.30353,1,5.30353,0.7688559885289414,Breakdown-flow,12,0.0,23
0,28,26,23840887#4_0,431.84,497.737,43.816639343244,1594162114.7101624,5.30353,1,5.30353,0.7688559885289414,Breakdown-flow,10,0.0,23
1,28,15,23840887#4_0,432.349,497.73,46.050201137083,1594162128.2285235,5.45514,1,5.379335,0.7655521754479248,Breakdown-flow,7,0.0,23
2,28,15,23840887#4_0,432.349,497.73,46.450193740083,1594162130.9264827,5.45514,1,5.404603333333334,0.7644509044209192,Breakdown-flow,7,0.0,23
0,28,19,23840887#4_0,429.991,497.761,51.020354445061,1594162159.7530882,4.17153,1,4.17153,0.8181920007670617,Breakdown-flow,6,0.0,23
1,28,19,23840887#4_0,429.991,497.761,51.120354809029,1594162160.2505903,4.17153,1,4.17153,0.8181920007670617,Breakdown-flow,6,0.0,23
2,28,19,23840887#4_0,429.991,497.761,51.520356264901,1594162162.1791115,4.17153,1,4.17153,0.8181920007670617,Breakdown-flow,5,0.0,23
3,28,19,23840887#4_0,429.991,497.761,51.720356992837,1594162163.1926239,4.17153,1,4.17153,0.8181920007670617,Breakdown-flow,5,0.0,23
1,2,23,23840888#0_0,220.993,583.699,23.160219955745,1594161964.9840043,2.07246,1,2.07246,0.795057553103121,Breakdown-flow,9,0.0,23
2,2,23,23840888#0_0,220.993,583.699,23.560219774173,1594161966.7254384,2.07246,1,2.07246,0.795057553103121,Breakdown-flow,9,0.0,23
3,2,23,23840888#0_0,220.993,583.699,23.760213183387,1594161967.6671493,2.07246,1,2.07246,0.795057553103121,Breakdown-flow,9,0.0,23
4,2,23,23840888#0_0,220.901,580.49,24.1602157827,1594161970.092994,4.02323,1,2.5601525,0.7468303765673826,Breakdown-flow,9,0.0,23
5,2,23,23840888#0_0,220.901,580.49,24.360211889998,1594161971.233603,4.02323,1,2.852768,0.7178940706459396,Breakdown-flow,8,0.0,23
0,2,23,23840888#0_0,220.901,580.49,24.960213211892,1594161975.1274433,4.02323,1,4.02323,0.6021488469601677,Unstable-flow,8,0.0,23
1,3,23,23840888#0_0,220.755,575.425,25.460223811358,1594161978.1322343,5.98277,1,5.98277,0.40837288873066724,Stable-flow,8,0.0,23
2,3,23,23840888#0_0,220.755,575.425,25.560216884382,1594161978.6397865,5.98277,1,5.98277,0.40837288873066724,Stable-flow,8,0.0,23
3,3,23,23840888#0_0,220.755,575.425,25.660222957406,1594161979.167004,5.98277,1,5.9827699999999995,0.4083728887306673,Stable-flow,8,0.0,23
1,5,23,23840888#0_0,220.549,568.23,26.46022097004,1594161983.8312914,8.15563,1,8.15563,0.1935020371029626,Reasonably Free-flow,10,0.0,23
2,5,23,23840888#0_0,220.549,568.23,26.660221137474,1594161984.9995904,8.15563,1,8.15563,0.1935020371029626,Reasonably Free-flow,10,0.0,23
3,5,23,23840888#0_0,220.549,568.23,26.860221304908,1594161986.1729012,8.15563,1,8.15563,0.1935020371029626,Reasonably Free-flow,10,0.0,23
1,7,23,23840888#0_0,220.284,558.988,27.060221414916,1594161987.4079518,10.1124,1,10.1124,0.0,Free-flow,10,0.0,23
2,7,23,23840888#0_0,220.284,558.988,27.560221216681,1594161990.3122718,10.1124,1,10.1124,0.0,Free-flow,10,0.0,23
3,7,23,23840888#0_0,220.284,558.988,27.760221137387,1594161991.432835,10.1124,1,10.1124,0.0,Free-flow,8,0.0,23
1,9,23,23840888#0_0,220.007,549.335,28.060220977654,1594161993.3082976,8.42303,1,8.42303,0.16705925398520616,Reasonably Free-flow,8,0.0,23
2,9,23,23840888#0_0,220.007,549.335,28.360220646589,1594161995.934342,8.42303,1,8.42303,0.16705925398520616,Reasonably Free-flow,8,0.0,23
3,9,23,23840888#0_0,220.007,549.335,28.660220315524,1594161998.0256312,8.42303,1,8.42303,0.16705925398520616,Reasonably Free-flow,8,0.0,23
4,9,23,23840888#0_0,220.007,549.335,28.960219984459,1594161999.7614253,8.42303,1,8.42303,0.16705925398520616,Reasonably Free-flow,8,0.0,23
1,10,23,23840888#0_0,219.811,542.527,29.660219916218,1594162004.9012706,5.5719,1,5.5719,0.44900320398718396,Stable-flow,11,0.0,23
2,10,23,23840888#0_0,219.811,542.527,29.960221754199,1594162007.0797555,5.5719,1,5.5719,0.44900320398718396,Stable-flow,11,0.0,23
1,11,23,23840888#0_0,219.688,538.246,30.060218042257,1594162007.8124676,3.66935,1,3.66935,0.6371435069815277,Unstable-flow,11,0.0,23
0,11,23,23840888#0_0,219.688,538.246,30.760221213322,1594162012.4074707,3.66935,1,3.66935,0.6371435069815277,Unstable-flow,11,0.0,23
1,2,25,23840888#1_0,219.023,518.467,25.627898721462,1594161978.9956193,2.03153,1,2.03153,0.7370364713313796,Breakdown-flow,8,0.0,23
0,2,25,23840888#1_0,218.904,515.377,26.927897141218,1594161986.552679,4.02315,1,4.02315,0.4792389379614576,Stable-flow,10,0.0,23
1,2,23,23840888#1_0,218.984,517.444,33.260216488044,1594162030.362269,7.72552,1,5.874335,0.2396194689807288,Reasonably Free-flow,12,0.0,23
